Rank,Year,Movie,Worldwide,Domestic,International
50,2007,Pirates of the Caribbean: At World’s …,"$963,420,425 ","$309,420,425 ","$654,000,000 "
51,2017,Jumanji: Welcome to the Jungle,"$961,230,193 ","$404,508,916 ","$556,721,277 "
52,2013,The Hobbit: The Desolation of Smaug,"$960,238,087 ","$258,241,522 ","$701,996,565 "
53,2010,Harry Potter and the Deathly Hallows:…,"$956,871,758 ","$296,131,568 ","$660,740,190 "
54,2016,The Jungle Book,"$953,590,592 ","$364,001,123 ","$589,589,469 "
55,2014,The Hobbit: The Battle of the Five Ar…,"$943,328,905 ","$255,119,788 ","$688,209,117 "
56,2007,Harry Potter and the Order of the Pho…,"$941,145,555 ","$292,137,260 ","$649,008,295 "
57,2003,Finding Nemo,"$936,094,852 ","$380,529,370 ","$555,565,482 "
58,2004,Shrek 2,"$935,253,978 ","$441,226,247 ","$494,027,731 "
59,2009,Harry Potter and the Half-Blood Prince,"$931,207,376 ","$302,089,278 ","$629,118,098 "
60,2002,The Lord of the Rings: The Two Towers,"$919,148,764 ","$342,548,984 ","$576,599,780 "
61,2018,Bohemian Rhapsody,"$895,710,241 ","$216,303,339 ","$679,406,902 "
62,2007,Spider-Man 3,"$894,860,230 ","$336,530,303 ","$558,329,927 "
63,2005,Harry Potter and the Goblet of Fire,"$892,779,071 ","$290,201,752 ","$602,577,319 "
64,2001,The Lord of the Rings: The Fellowship…,"$887,210,985 ","$315,544,750 ","$571,666,235 "
65,2009,Ice Age: Dawn of the Dinosaurs,"$886,686,817 ","$196,573,705 ","$690,113,112 "
66,2016,The Secret Life of Pets,"$885,302,500 ","$368,384,330 ","$516,918,170 "
67,2017,Spider-Man: Homecoming,"$880,166,350 ","$334,201,140 ","$545,965,210 "
68,2012,Ice Age: Continental Drift,"$879,765,137 ","$161,321,843 ","$718,443,294 "
69,2015,Spectre,"$879,500,760 ","$200,074,175 ","$679,426,585 "
70,2002,Harry Potter and the Chamber of Secrets,"$876,508,805 ","$262,233,381 ","$614,275,424 "
71,2016,Batman v Superman: Dawn of Justice,"$872,395,091 ","$330,360,194 ","$542,034,897 "
72,2017,Guardians of the Galaxy Vol 2,"$869,113,101 ","$389,813,101 ","$479,300,000 "
73,2013,The Hunger Games: Catching Fire,"$864,868,047 ","$424,668,047 ","$440,200,000 "
74,2015,Inside Out,"$855,210,203 ","$356,461,711 ","$498,748,492 "
75,2018,Venom,"$853,628,605 ","$213,511,408 ","$640,117,197 "
76,2017,Thor: Ragnarok,"$851,390,135 ","$315,058,289 ","$536,331,846 "
77,2005,Star Wars Ep. III: Revenge of the Sith,"$848,998,877 ","$380,270,577 ","$468,728,300 "
78,2009,Transformers: Revenge of the Fallen,"$836,519,699 ","$402,111,870 ","$434,407,829 "
79,2017,Zhan Lang 2,"$835,474,171 ","$2,721,100 ","$832,753,071 "
80,2012,"The Twilight Saga: Breaking Dawn, Part 2","$829,724,737 ","$292,324,737 ","$537,400,000 "
81,2002,Spider-Man,"$821,706,375 ","$403,706,375 ","$418,000,000 "
82,2017,Wonder Woman,"$818,793,055 ","$412,563,408 ","$406,229,647 "
83,1996,Independence Day,"$817,400,878 ","$306,169,255 ","$511,231,623 "
84,2016,Fantastic Beasts and Where to Find Them,"$812,091,803 ","$234,037,575 ","$578,054,228 "
85,2007,Shrek the Third,"$807,330,936 ","$322,719,944 ","$484,610,992 "
86,2017,Coco,"$798,330,070 ","$210,460,015 ","$587,870,055 "
87,2019,Jumanji: The Next Level,"$797,366,325 ","$316,831,246 ","$480,535,079 "
88,2004,Spider-Man 2,"$794,697,557 ","$373,524,485 ","$421,173,072 "
89,1982,E.T. the Extra-Terrestrial,"$792,962,972 ","$435,110,554 ","$357,852,418 "
90,2004,Harry Potter and the Prisoner of Azkaban,"$789,961,033 ","$249,757,726 ","$540,203,307 "
91,2013,Fast and Furious 6,"$789,300,444 ","$238,679,850 ","$550,620,594 "
92,2017,Pirates of the Caribbean: Dead Men Te…,"$788,241,137 ","$172,558,876 ","$615,682,261 "
93,2018,Mission: Impossible—Fallout,"$787,176,729 ","$220,159,104 ","$567,017,625 "
94,2018,Deadpool 2,"$786,680,557 ","$324,591,735 ","$462,088,822 "
95,2008,Indiana Jones and the Kingdom of the …,"$786,635,413 ","$317,101,119 ","$469,534,294 "
96,2016,Deadpool,"$785,025,593 ","$363,070,709 ","$421,954,884 "
97,1977,Star Wars Ep. IV: A New Hope,"$775,398,007 ","$460,998,007 ","$314,400,000 "
98,2014,Guardians of the Galaxy,"$770,340,395 ","$333,172,112 ","$437,168,283 "
99,2006,The Da Vinci Code,"$767,820,459 ","$217,536,138 ","$550,284,321 "
100,2014,The Hunger Games: Mockingjay - Part 1,"$766,575,131 ","$337,135,885 ","$429,439,246 "
101,2019,Fast & Furious Presents: Hobbs & Shaw,"$759,765,123 ","$173,956,935 ","$585,808,188 "
102,2014,Maleficent,"$758,536,735 ","$241,407,328 ","$517,129,407 "
103,2012,The Amazing Spider-Man,"$757,890,267 ","$262,030,663 ","$495,859,604 "
104,2009,2012,"$757,677,748 ","$166,112,167 ","$591,565,581 "
105,2010,Shrek Forever After,"$756,244,673 ","$238,736,787 ","$517,507,886 "
106,2014,X-Men: Days of Future Past,"$747,862,775 ","$233,921,534 ","$513,941,241 "
107,2012,Madagascar 3: Europe's Most Wanted,"$746,921,271 ","$216,391,482 ","$530,529,789 "
108,2016,Suicide Squad,"$746,846,894 ","$325,100,054 ","$421,746,840 "
109,2013,Monsters University,"$743,588,329 ","$268,488,329 ","$475,100,000 "
110,2019,Ne Zha Zhi Mo Tong Jiang Shi,"$742,514,069 ","$3,695,533 ","$738,818,536 "
111,2003,The Matrix Reloaded,"$738,576,929 ","$281,553,689 ","$457,023,240 "
112,2009,Up,"$731,463,377 ","$293,004,164 ","$438,459,213 "
113,2010,Inception,"$728,582,465 ","$292,576,195 ","$436,006,270 "
114,2005,"The Chronicles of Narnia: The Lion, t…","$720,539,572 ","$291,710,957 ","$428,828,615 "
115,2014,Captain America: The Winter Soldier,"$714,401,889 ","$259,746,958 ","$454,654,931 "
116,2014,Dawn of the Planet of the Apes,"$710,644,566 ","$208,545,589 ","$502,098,977 "
117,2014,The Amazing Spider-Man 2,"$708,996,336 ","$202,853,933 ","$506,142,403 "
118,2007,Transformers,"$708,272,592 ","$319,246,193 ","$389,026,399 "
119,2010,The Twilight Saga: Eclipse,"$706,102,828 ","$300,531,751 ","$405,571,077 "
120,2017,It,"$701,720,047 ","$328,828,874 ","$372,891,173 "
121,2011,Mission: Impossible—Ghost Protocol,"$694,713,230 ","$209,397,903 ","$485,315,327 "
122,2013,Gravity,"$689,742,192 ","$274,092,705 ","$415,649,487 "
123,2011,"The Twilight Saga: Breaking Dawn, Part 1","$689,420,051 ","$281,287,133 ","$408,132,918 "
124,2019,Liu Lang Di Qiu,"$688,934,822 ","$5,875,487 ","$683,059,335 "
125,2015,Mission: Impossible—Rogue Nation,"$688,858,992 ","$195,042,377 ","$493,816,615 "
126,2009,The Twilight Saga: New Moon,"$687,557,727 ","$296,623,634 ","$390,934,093 "
127,1994,Forrest Gump,"$679,838,260 ","$330,151,138 ","$349,687,122 "
128,2012,The Hunger Games,"$677,923,379 ","$408,010,692 ","$269,912,687 "
129,2016,Doctor Strange,"$676,354,481 ","$232,641,920 ","$443,712,561 "
130,1999,The Sixth Sense,"$672,806,292 ","$293,506,292 ","$379,300,000 "
131,2013,Man of Steel,"$667,999,518 ","$291,045,518 ","$376,954,000 "
132,2011,Kung Fu Panda 2,"$664,837,547 ","$165,249,063 ","$499,588,484 "
